"filename", "language", "JavaScript", "SQLite", "comment", "blank", "total"
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\DataImplementation\DAO.js", "JavaScript", 277, 0, 10, 89, 376
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\DataImplementation\TableCreator.sql", "SQLite", 0, 115, 0, 0, 115
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\DataImplementation\TableDestructor.sql", "SQLite", 0, 15, 0, 0, 15
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\DataImplementation\internalOrderQuery.js", "JavaScript", 130, 0, 14, 24, 168
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\DataImplementation\itemQuery.js", "JavaScript", 116, 0, 0, 14, 130
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\DataImplementation\positionQuery.js", "JavaScript", 228, 0, 0, 12, 240
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\DataImplementation\restockOrderQuery.js", "JavaScript", 215, 0, 2, 37, 254
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\DataImplementation\returnOrderQuery.js", "JavaScript", 98, 0, 0, 16, 114
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\DataImplementation\skuItemQuery.js", "JavaScript", 126, 0, 0, 8, 134
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\DataImplementation\skuQuery.js", "JavaScript", 178, 0, 0, 16, 194
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\DataImplementation\testDescriptorQuery.js", "JavaScript", 145, 0, 0, 10, 155
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\DataImplementation\testResultQuery.js", "JavaScript", 111, 0, 0, 8, 119
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\DataImplementation\userQuery.js", "JavaScript", 183, 0, 0, 14, 197
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\InternalOrder\InternalOrder.js", "JavaScript", 56, 0, 1, 8, 65
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\Inventory\Inventory.js", "JavaScript", 37, 0, 2, 7, 46
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\Item\Item.js", "JavaScript", 41, 0, 0, 6, 47
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\Item\OrderManager.js", "JavaScript", 203, 0, 9, 59, 271
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\Position\Position.js", "JavaScript", 104, 0, 7, 7, 118
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\Position\PositionManager.js", "JavaScript", 60, 0, 1, 11, 72
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\RestockOrder\RestockOrder.js", "JavaScript", 64, 0, 1, 11, 76
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\RestockOrder\TransportNote.js", "JavaScript", 18, 0, 1, 3, 22
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\ReturnOrder\ReturnOrder.js", "JavaScript", 42, 0, 1, 9, 52
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\SKUItem\SKUItem.js", "JavaScript", 46, 0, 5, 7, 58
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\SKU\SKU.js", "JavaScript", 132, 0, 11, 19, 162
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\SKU\SKUManager.js", "JavaScript", 142, 0, 2, 28, 172
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\TestDescriptor\TestDescriptor.js", "JavaScript", 51, 0, 10, 6, 67
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\TestResult\TestResult.js", "JavaScript", 45, 0, 3, 3, 51
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\User\Customer.js", "JavaScript", 11, 0, 2, 3, 16
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\User\Supplier.js", "JavaScript", 10, 0, 2, 4, 16
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\User\User.js", "JavaScript", 10, 0, 0, 1, 11
"d:\Documenti\Università\Polito\Software Engineering\Group Project 2\EzWh\code\server\modules\User\UserManager.js", "JavaScript", 44, 0, 1, 11, 56
"Total", "-", 2923, 130, 85, 451, 3589